,account_value,date,daily_return,datadate
0,10000000.0,2022-02-01,,2022-02-01
1,10000983.15687828,2022-02-02,9.831568782803224e-05,2022-02-02
2,9995799.189773943,2022-02-03,-0.0005183457489149,2022-02-03
3,9990877.748477172,2022-02-04,-0.0004923509569706,2022-02-04
4,9991407.900798034,2022-02-07,5.306363807155989e-05,2022-02-07
5,10000789.897608183,2022-02-08,0.0009390064847019,2022-02-08
6,10025129.955549238,2022-02-09,0.0024338135477552,2022-02-09
7,10005595.970038602,2022-02-10,-0.0019485019742635,2022-02-10
8,9969550.741235351,2022-02-11,-0.0036025069282417,2022-02-11
9,9960386.99933319,2022-02-14,-0.0009191730038805,2022-02-14
10,9970671.242242428,2022-02-15,0.0010325143902467,2022-02-15
11,9972118.462928766,2022-02-16,0.0001451477690095,2022-02-16
12,9923945.53839416,2022-02-17,-0.0048307613586509,2022-02-17
13,9923734.61360931,2022-02-18,-2.1254125592951038e-05,2022-02-18
14,9904099.696182627,2022-02-22,-0.0019785814707051,2022-02-22
15,9858563.22299499,2022-02-23,-0.0045977397829696,2022-02-23
16,9894098.690835943,2022-02-24,0.0036045280673424,2022-02-24
17,9951104.952902978,2022-02-25,0.0057616427578019,2022-02-25
18,9939468.873868171,2022-02-28,-0.0011693253251651,2022-02-28
19,9878611.442103188,2022-03-01,-0.0061228052059186,2022-03-01
20,9952635.37513236,2022-03-02,,2022-03-02
21,9947348.752214696,2022-03-03,-0.0005311781973721,2022-03-03
22,9882160.538694851,2022-03-04,-0.0065533254280776,2022-03-04
23,9776868.028431231,2022-03-07,-0.0106548066944806,2022-03-07
24,9783068.707892949,2022-03-08,0.0006342194088824,2022-03-08
25,9855403.84248649,2022-03-09,0.0073939105155402,2022-03-09
26,9870303.116790632,2022-03-10,0.0015117872937799,2022-03-10
27,9860323.623929918,2022-03-11,-0.0010110624509329,2022-03-11
28,9832569.197498832,2022-03-14,-0.0028147581651102,2022-03-14
29,9869188.520818256,2022-03-15,0.0037242883913533,2022-03-15
30,9933862.695141662,2022-03-16,0.0065531400263538,2022-03-16
31,9982297.370147811,2022-03-17,0.0048757141599951,2022-03-17
32,10014297.36156205,2022-03-18,0.0032056740274974,2022-03-18
33,10010644.734387595,2022-03-21,-0.0003647412337161,2022-03-21
34,10037190.582532018,2022-03-22,0.0026517620841377,2022-03-22
35,10005026.035489729,2022-03-23,-0.0032045368450277,2022-03-23
36,10032188.78873105,2022-03-24,0.0027149108003288,2022-03-24
37,10050412.067743655,2022-03-25,0.0018164808693668,2022-03-25
38,10062102.117546951,2022-03-28,0.0011631413443051,2022-03-28
39,10103573.918120472,2022-03-29,0.0041215841470341,2022-03-29
40,10077757.240626425,2022-03-30,,2022-03-30
41,10033749.563703433,2022-03-31,-0.0043668125627776,2022-03-31
42,10045128.555660646,2022-04-01,0.0011340717530341,2022-04-01
43,10037777.78829323,2022-04-04,-0.0007317743448166,2022-04-04
44,10009241.770216355,2022-04-05,-0.0028428621034184,2022-04-05
45,9992450.747809589,2022-04-06,-0.0016775518857713,2022-04-06
46,10024355.482377049,2022-04-07,0.0031928838452821,2022-04-07
47,10024129.515773196,2022-04-08,-2.2541758844085716e-05,2022-04-08
48,9982748.641711228,2022-04-11,-0.0041281264369993,2022-04-11
49,9970300.74461612,2022-04-12,-0.0012469408518506,2022-04-12
50,10020122.274955552,2022-04-13,0.0049969937332465,2022-04-13
51,9996980.656451885,2022-04-14,-0.0023095145816242,2022-04-14
52,9973343.82011422,2022-04-18,-0.0023643975266079,2022-04-18
53,10019269.23163766,2022-04-19,0.0046048158322604,2022-04-19
54,10083758.578762904,2022-04-20,0.0064365320099002,2022-04-20
55,10000574.643301416,2022-04-21,-0.00824929859355,2022-04-21
56,9864981.89218066,2022-04-22,-0.0135584959821863,2022-04-22
57,9808143.74747622,2022-04-25,-0.0057616065924551,2022-04-25
58,9681533.167218044,2022-04-26,-0.0129087198880781,2022-04-26
59,9692359.193875529,2022-04-27,0.0011182140752399,2022-04-27
60,9773562.794648388,2022-04-28,,2022-04-28
61,9668198.949082972,2022-04-29,-0.010780495074233,2022-04-29
62,9658287.131229809,2022-05-02,-0.0010251979614162,2022-05-02
63,9717021.365998104,2022-05-03,0.0060812268231684,2022-05-03
64,9830465.415676909,2022-05-04,0.0116747761897249,2022-05-04
65,9825620.4734274,2022-05-05,-0.0004928497324023,2022-05-05
66,9823254.305061158,2022-05-06,-0.0002408161777306,2022-05-06
67,9813111.326272016,2022-05-09,-0.0010325477152632,2022-05-09
68,9814646.317846496,2022-05-10,0.0001564225171246,2022-05-10
69,9801837.753363231,2022-05-11,-0.0013050459556521,2022-05-11
70,9809383.35114422,2022-05-12,0.0007698145971042,2022-05-12
71,9844696.388620188,2022-05-13,0.0035999242981821,2022-05-13
72,9834943.51339474,2022-05-16,-0.0009906730325091,2022-05-16
73,9868256.030142024,2022-05-17,0.0033871589299838,2022-05-17
74,9795185.343629649,2022-05-18,-0.007404620055376,2022-05-18
75,9798873.727720834,2022-05-19,0.0003765507197455,2022-05-19
76,9799108.792312814,2022-05-20,2.398893980171124e-05,2022-05-20
77,9824076.775071144,2022-05-23,0.0025479850553262,2022-05-23
78,9808497.678012656,2022-05-24,-0.0015858077471483,2022-05-24
79,9836380.754952049,2022-05-25,0.0028427469582723,2022-05-25
80,9902236.72419033,2022-05-26,,2022-05-26
81,9980281.86005764,2022-05-27,0.0078815663613303,2022-05-27
82,9930106.479706764,2022-05-31,-0.0050274512337855,2022-05-31
83,9893351.261932949,2022-06-01,-0.0037013921098359,2022-06-01
84,9977888.882554436,2022-06-02,0.0085448922597914,2022-06-02
85,9942033.365386773,2022-06-03,-0.0035934973409409,2022-06-03
86,9950031.359383583,2022-06-06,0.0008044625986327,2022-06-06
87,9980561.39922848,2022-06-07,0.0030683360425898,2022-06-07
88,9912925.967109872,2022-06-08,-0.006776716199936,2022-06-08
89,9816587.885563854,2022-06-09,-0.0097184304478473,2022-06-09
90,9713513.026799206,2022-06-10,-0.010500069878275,2022-06-10
91,9548310.109639743,2022-06-13,-0.0170075354512494,2022-06-13
92,9534424.669541365,2022-06-14,-0.0014542301139091,2022-06-14
93,9570430.616761403,2022-06-15,0.0037764153022323,2022-06-15
94,9435260.989551742,2022-06-16,-0.0141236724471863,2022-06-16
95,9442725.426258665,2022-06-17,0.0007911213812938,2022-06-17
96,9545366.568725782,2022-06-21,0.010869864137073,2022-06-21
97,9534121.63505631,2022-06-22,-0.0011780515277762,2022-06-22
98,9589863.193911174,2022-06-23,0.0058465332191595,2022-06-23
99,9764134.739849474,2022-06-24,0.0181724746656395,2022-06-24
100,9749574.7281765,2022-06-27,,2022-06-27
101,9654574.81243012,2022-06-28,-0.0097440061125771,2022-06-28
102,9599729.809550822,2022-06-29,-0.005680726903549,2022-06-29
103,9549372.23290732,2022-06-30,-0.0052457285405469,2022-06-30
104,9522091.16597871,2022-07-01,-0.0028568440168874,2022-07-01
105,9519129.636979498,2022-07-05,-0.0003110166608982,2022-07-05
106,9507526.639472997,2022-07-06,-0.0012189136978898,2022-07-06
107,9620419.29518278,2022-07-07,0.0118740299123731,2022-07-07
108,9621210.326539146,2022-07-08,8.222420791592633e-05,2022-07-08
109,9566126.615470331,2022-07-11,-0.0057252371790347,2022-07-11
110,9524058.127045132,2022-07-12,-0.0043976512245996,2022-07-12
111,9485781.390091617,2022-07-13,-0.0040189524720373,2022-07-13
112,9461070.87802186,2022-07-14,-0.0026050054342985,2022-07-14
113,9566763.236779656,2022-07-15,0.011171289182847,2022-07-15
114,9525631.219104216,2022-07-18,-0.0042994706419937,2022-07-18
115,9710922.469502311,2022-07-19,0.0194518605786964,2022-07-19
116,9763506.822072623,2022-07-20,0.0054149698687695,2022-07-20
117,9830721.18779131,2022-07-21,0.0068842442519458,2022-07-21
118,9795136.22202347,2022-07-22,-0.0036197716411724,2022-07-22
119,9792316.064068306,2022-07-25,-0.0002879141128045,2022-07-25
120,9764447.788403025,2022-07-26,,2022-07-26
121,9885090.915108712,2022-07-27,0.0123553455679259,2022-07-27
122,10002701.245681224,2022-07-28,0.0118977490022627,2022-07-28
123,10098347.826530298,2022-07-29,0.0095620751334917,2022-07-29
124,10100655.801801523,2022-08-01,0.0002285497896161,2022-08-01
125,10039464.561130747,2022-08-02,-0.0060581453196199,2022-08-02
126,10055342.29492515,2022-08-03,0.0015815319330749,2022-08-03
127,10069424.960907586,2022-08-04,0.0014005158222751,2022-08-04
128,10073069.826858744,2022-08-05,0.0003619735948485,2022-08-05
129,10060925.1888297,2022-08-08,-0.0012056541092033,2022-08-08
130,9896087.013267856,2022-08-09,-0.0163839977405714,2022-08-09
