date,dji
2022-02-01,10000000.0
2022-02-02,10064498.77183297
2022-02-03,10104863.150277326
2022-02-04,9984145.621582313
2022-02-07,9987741.666199936
2022-02-08,10002620.356368465
2022-02-09,10131837.929958474
2022-02-10,10136364.1010733
2022-02-11,10033120.0598837
2022-02-14,9870000.097791078
2022-02-15,9867636.443000693
2022-02-16,9943205.609296197
2022-02-17,9916646.441693848
2022-02-18,9760744.127868056
2022-02-22,9665055.55866709
2022-02-23,9581667.551231412
2022-02-24,9339674.640195511
2022-02-25,9466807.485818071
2022-02-28,9635620.444380436
2022-03-01,9619364.900293106
2022-03-02,9495908.11016965
2022-03-03,9664708.844847344
2022-03-04,9574402.118688142
2022-03-07,9552872.523996597
2022-03-08,9355276.762084087
2022-03-09,9348235.804513859
2022-03-10,9418317.557854535
2022-03-11,9467518.693653448
2022-03-14,9388048.996885799
2022-03-15,9384890.789591828
2022-03-16,9573975.393986916
2022-03-17,9671115.271676948
2022-03-18,9805200.173890317
2022-03-21,9862988.03303916
2022-03-22,9838348.015330086
2022-03-23,9885458.866850337
2022-03-24,9788156.744872859
2022-03-25,9872244.847521486
2022-03-28,9909409.901968889
2022-03-29,9989440.786169142
2022-03-30,10034752.504118338
2022-03-31,10014238.60311669
2022-04-01,9883197.448186288
2022-04-04,9900007.512132762
2022-04-05,9921727.13266782
2022-04-06,9820454.470696904
2022-04-07,9797382.444012385
2022-04-08,9834365.251451975
2022-04-11,9851727.61273311
2022-04-12,9789779.18774731
2022-04-13,9719833.008400254
2022-04-14,9851213.098314704
2022-04-18,9789488.037039705
2022-04-19,9784689.606675396
2022-04-20,9946290.473282145
2022-04-21,10030534.152644759
2022-04-22,9879353.592088524
2022-04-25,9596085.067569189
2022-04-26,9646108.537427757
2022-04-27,9516223.09522984
2022-04-28,9509122.1294985
2022-04-29,9611834.987336054
2022-05-02,9381823.705801766
2022-05-03,9412434.535541277
2022-05-04,9436817.851672273
2022-05-05,9630940.919076106
2022-05-06,9323615.789525153
2022-05-09,9298379.57962283
2022-05-10,9246865.351465577
2022-05-11,9138520.060950512
2022-05-12,9017841.982065117
2022-05-13,9093178.89455188
2022-05-16,9146744.512809297
2022-05-17,9224934.59110439
2022-05-18,9236788.981079204
2022-05-19,8893687.874884317
2022-05-20,8940434.232388938
2022-05-23,8931601.364452232
2022-05-24,9023124.922767274
2022-05-25,9051203.74148662
2022-05-26,9174060.449998977
2022-05-27,9312580.955454387
2022-05-31,9433628.529035505
2022-06-01,9432410.585617423
2022-06-02,9333610.482136682
2022-06-03,9384051.786598533
2022-06-06,9397057.999887984
2022-06-07,9326219.476959977
2022-06-08,9412713.462364215
2022-06-09,9339189.018595418
2022-06-10,9118685.696810322
2022-06-13,8860201.654091623
2022-06-14,8703004.719752997
2022-06-15,8696791.652553637
2022-06-16,8621471.964631634
2022-06-17,8509658.424656864
2022-06-21,8555741.91423367
2022-06-22,8634794.332029156
2022-06-23,8696743.312646076
2022-06-24,8775434.014581539
2022-06-27,8970777.24792794
2022-06-28,8975172.845729241
2022-06-29,8838154.211194945
2022-06-30,8759235.700499712
2022-07-01,8744377.013051553
2022-07-05,8791416.188157145
2022-07-06,8806829.951095572
2022-07-07,8873213.97932341
2022-07-08,8918099.528202502
2022-07-11,8898057.913654035
2022-07-12,8851212.098178687
2022-07-13,8746044.462046837
2022-07-14,8663023.726782398
2022-07-15,8755073.467769394
2022-07-18,8954385.57421587
2022-07-19,8866175.799908787
2022-07-20,9055095.381860822
2022-07-21,9054099.690891294
2022-07-22,9151230.678483386
2022-07-25,9089500.616528291
2022-07-26,9089247.248736938
2022-07-27,9065069.51612086
2022-07-28,9159679.605315212
2022-07-29,9250145.24197513
2022-08-01,9318447.308834001
2022-08-02,9300120.371926136
2022-08-03,9249744.63193661
2022-08-04,9332665.909230322
2022-08-05,9272414.937320365
2022-08-08,9353054.237598537
2022-08-09,9333140.418207986
2022-08-10,9425105.147633411
2022-08-11,9516390.895828499
2022-08-12,9510475.646910202
2022-08-15,9590125.368161181
2022-08-16,9650905.85652982
2022-08-17,9680833.259990025
2022-08-18,9667265.859267972
2022-08-19,9645312.873661928
2022-08-22,9554818.344183698
2022-08-23,9397479.168277998
2022-08-24,9359213.964210244
2022-08-25,9396270.114957856
2022-08-26,9471419.224125592
2022-08-29,9156943.122042377
