,date,dji
0,2022-02-01,10000000.0
1,2022-02-02,10064498.77183297
2,2022-02-03,10104863.150277326
3,2022-02-04,9984145.621582313
4,2022-02-07,9987741.666199936
5,2022-02-08,10002620.356368465
6,2022-02-09,10131837.929958474
7,2022-02-10,10136364.1010733
8,2022-02-11,10033120.0598837
9,2022-02-14,9870000.097791078
10,2022-02-15,9867636.443000693
11,2022-02-16,9943205.609296197
12,2022-02-17,9916646.441693848
13,2022-02-18,9760744.127868056
14,2022-02-22,9665055.55866709
15,2022-02-23,9581667.551231412
16,2022-02-24,9339674.640195511
17,2022-02-25,9466807.485818071
18,2022-02-28,9635620.444380436
19,2022-03-01,9619364.900293106
20,2022-03-02,9495908.11016965
21,2022-03-03,9664708.844847344
22,2022-03-04,9574402.118688142
23,2022-03-07,9552872.523996597
24,2022-03-08,9355276.762084087
25,2022-03-09,9348235.804513859
26,2022-03-10,9418317.557854535
27,2022-03-11,9467518.693653448
28,2022-03-14,9388048.996885799
29,2022-03-15,9384890.789591828
30,2022-03-16,9573975.393986916
31,2022-03-17,9671115.271676948
32,2022-03-18,9805200.173890317
33,2022-03-21,9862988.03303916
34,2022-03-22,9838348.015330086
35,2022-03-23,9885458.866850337
36,2022-03-24,9788156.744872859
37,2022-03-25,9872244.847521486
38,2022-03-28,9909409.901968889
39,2022-03-29,9989440.786169142
40,2022-03-30,10034752.504118338
41,2022-03-31,10014238.60311669
42,2022-04-01,9883197.448186288
43,2022-04-04,9900007.512132762
44,2022-04-05,9921727.13266782
45,2022-04-06,9820454.470696904
46,2022-04-07,9797382.444012385
47,2022-04-08,9834365.251451975
48,2022-04-11,9851727.61273311
49,2022-04-12,9789779.18774731
50,2022-04-13,9719833.008400254
51,2022-04-14,9851213.098314704
52,2022-04-18,9789488.037039705
53,2022-04-19,9784689.606675396
54,2022-04-20,9946290.473282145
55,2022-04-21,10030534.152644759
56,2022-04-22,9879353.592088524
57,2022-04-25,9596085.067569189
58,2022-04-26,9646108.537427757
59,2022-04-27,9516223.09522984
60,2022-04-28,9509122.1294985
61,2022-04-29,9611834.987336054
62,2022-05-02,9381823.705801766
63,2022-05-03,9412434.535541277
64,2022-05-04,9436817.851672273
65,2022-05-05,9630940.919076106
66,2022-05-06,9323615.789525153
67,2022-05-09,9298379.57962283
68,2022-05-10,9246865.351465577
69,2022-05-11,9138520.060950512
70,2022-05-12,9017841.982065117
71,2022-05-13,9093178.89455188
72,2022-05-16,9146744.512809297
73,2022-05-17,9224934.59110439
74,2022-05-18,9236788.981079204
75,2022-05-19,8893687.874884317
76,2022-05-20,8940434.232388938
77,2022-05-23,8931601.364452232
78,2022-05-24,9023124.922767274
79,2022-05-25,9051203.74148662
80,2022-05-26,9174060.449998977
81,2022-05-27,9312580.955454387
82,2022-05-31,9433628.529035505
83,2022-06-01,9432410.585617423
84,2022-06-02,9333610.482136682
85,2022-06-03,9384051.786598533
86,2022-06-06,9397057.999887984
87,2022-06-07,9326219.476959977
88,2022-06-08,9412713.462364215
89,2022-06-09,9339189.018595418
90,2022-06-10,9118685.696810322
91,2022-06-13,8860201.654091623
92,2022-06-14,8703004.719752997
93,2022-06-15,8696791.652553637
94,2022-06-16,8621471.964631634
95,2022-06-17,8509658.424656864
96,2022-06-21,8555741.91423367
97,2022-06-22,8634794.332029156
98,2022-06-23,8696743.312646076
99,2022-06-24,8775434.014581539
100,2022-06-27,8970777.24792794
101,2022-06-28,8975172.845729241
102,2022-06-29,8838154.211194945
103,2022-06-30,8759235.700499712
104,2022-07-01,8744377.013051553
105,2022-07-05,8791416.188157145
106,2022-07-06,8806829.951095572
107,2022-07-07,8873213.97932341
108,2022-07-08,8918099.528202502
109,2022-07-11,8898057.913654035
110,2022-07-12,8851212.098178687
111,2022-07-13,8746044.462046837
112,2022-07-14,8663023.726782398
113,2022-07-15,8755073.467769394
114,2022-07-18,8954385.57421587
115,2022-07-19,8866175.799908787
116,2022-07-20,9055095.381860822
117,2022-07-21,9054099.690891294
118,2022-07-22,9151230.678483386
119,2022-07-25,9089500.616528291
120,2022-07-26,9089247.248736938
121,2022-07-27,9065069.51612086
122,2022-07-28,9159679.605315212
123,2022-07-29,9250145.24197513
124,2022-08-01,9318447.308834001
125,2022-08-02,9300120.371926136
126,2022-08-03,9249744.63193661
127,2022-08-04,9332665.909230322
128,2022-08-05,9272414.937320365
129,2022-08-08,9353054.237598537
130,2022-08-09,9333140.418207986
131,2022-08-10,9425105.147633411
132,2022-08-11,9516390.895828499
133,2022-08-12,9510475.646910202
134,2022-08-15,9590125.368161181
135,2022-08-16,9650905.85652982
136,2022-08-17,9680833.259990025
137,2022-08-18,9667265.859267972
138,2022-08-19,9645312.873661928
139,2022-08-22,9554818.344183698
140,2022-08-23,9397479.168277998
141,2022-08-24,9359213.964210244
142,2022-08-25,9396270.114957856
143,2022-08-26,9471419.224125592
144,2022-08-29,9156943.122042377
145,2022-08-30,9150069.965070805
146,2022-08-31,9054287.494210323
147,2022-09-01,8948297.524018822
148,2022-09-02,9060361.097998217
149,2022-09-06,8916779.348658083
