date,ensemble
2022-02-01,10000000.0
2022-02-02,10000983.15687828
2022-02-03,9995799.189773943
2022-02-04,9990877.748477172
2022-02-07,9991407.900798034
2022-02-08,10000789.897608183
2022-02-09,10025129.955549238
2022-02-10,10005595.970038602
2022-02-11,9969550.741235351
2022-02-14,9960386.99933319
2022-02-15,9970671.242242428
2022-02-16,9972118.462928766
2022-02-17,9923945.53839416
2022-02-18,9923734.61360931
2022-02-22,9904099.696182627
2022-02-23,9858563.22299499
2022-02-24,9894098.690835943
2022-02-25,9951104.952902978
2022-02-28,9939468.873868171
2022-03-01,9878611.442103188
2022-03-02,9952635.37513236
2022-03-03,9947348.752214696
2022-03-04,9882160.538694851
2022-03-07,9776868.028431231
2022-03-08,9783068.707892949
2022-03-09,9855403.84248649
2022-03-10,9870303.116790632
2022-03-11,9860323.623929918
2022-03-14,9832569.197498832
2022-03-15,9869188.520818256
2022-03-16,9933862.695141662
2022-03-17,9982297.370147811
2022-03-18,10014297.36156205
2022-03-21,10010644.734387595
2022-03-22,10037190.582532018
2022-03-23,10005026.035489729
2022-03-24,10032188.78873105
2022-03-25,10050412.067743655
2022-03-28,10062102.117546951
2022-03-29,10103573.918120472
2022-03-30,10077757.240626425
2022-03-31,10033749.563703433
2022-04-01,10045128.555660646
2022-04-04,10037777.78829323
2022-04-05,10009241.770216355
2022-04-06,9992450.747809589
2022-04-07,10024355.482377049
2022-04-08,10024129.515773196
2022-04-11,9982748.641711228
2022-04-12,9970300.74461612
2022-04-13,10020122.274955552
2022-04-14,9996980.656451885
2022-04-18,9973343.82011422
2022-04-19,10019269.23163766
2022-04-20,10083758.578762904
2022-04-21,10000574.643301416
2022-04-22,9864981.89218066
2022-04-25,9808143.74747622
2022-04-26,9681533.167218044
2022-04-27,9692359.193875529
2022-04-28,9773562.794648388
2022-04-29,9668198.949082972
2022-05-02,9658287.131229809
2022-05-03,9717021.365998104
2022-05-04,9830465.415676909
2022-05-05,9825620.4734274
2022-05-06,9823254.305061158
2022-05-09,9813111.326272016
2022-05-10,9814646.317846496
2022-05-11,9801837.753363231
2022-05-12,9809383.35114422
2022-05-13,9844696.388620188
2022-05-16,9834943.51339474
2022-05-17,9868256.030142024
2022-05-18,9795185.343629649
2022-05-19,9798873.727720834
2022-05-20,9799108.792312814
2022-05-23,9824076.775071144
2022-05-24,9808497.678012656
2022-05-25,9836380.754952049
2022-05-26,9902236.72419033
2022-05-27,9980281.86005764
2022-05-31,9930106.479706764
2022-06-01,9893351.261932949
2022-06-02,9977888.882554436
2022-06-03,9942033.365386773
2022-06-06,9950031.359383583
2022-06-07,9980561.39922848
2022-06-08,9912925.967109872
2022-06-09,9816587.885563854
2022-06-10,9713513.026799206
2022-06-13,9548310.109639743
2022-06-14,9534424.669541365
2022-06-15,9570430.616761403
2022-06-16,9435260.989551742
2022-06-17,9442725.426258665
2022-06-21,9545366.568725782
2022-06-22,9534121.63505631
2022-06-23,9589863.193911174
2022-06-24,9764134.739849474
2022-06-27,9749574.7281765
2022-06-28,9654574.81243012
2022-06-29,9599729.809550822
2022-06-30,9549372.23290732
2022-07-01,9522091.16597871
2022-07-05,9519129.636979498
2022-07-06,9507526.639472997
2022-07-07,9620419.29518278
2022-07-08,9621210.326539146
2022-07-11,9566126.615470331
2022-07-12,9524058.127045132
2022-07-13,9485781.390091617
2022-07-14,9461070.87802186
2022-07-15,9566763.236779656
2022-07-18,9525631.219104216
2022-07-19,9710922.469502311
2022-07-20,9763506.822072623
2022-07-21,9830721.18779131
2022-07-22,9795136.22202347
2022-07-25,9792316.064068306
2022-07-26,9764447.788403025
2022-07-27,9885090.915108712
2022-07-28,10002701.245681224
2022-07-29,10098347.826530298
2022-08-01,10100655.801801523
2022-08-02,10039464.561130747
2022-08-03,10055342.29492515
2022-08-04,10069424.960907586
2022-08-05,10073069.826858744
2022-08-08,10060925.1888297
2022-08-09,9896087.013267856
2022-08-10,10081108.975276902
2022-08-11,10080869.489962723
2022-08-12,10184224.608814936
2022-08-15,10230843.294130642
2022-08-16,10201255.918013318
2022-08-17,10103677.061014872
2022-08-18,10125535.578198176
2022-08-19,10025287.58111184
2022-08-22,9837254.937129144
2022-08-23,9808562.500605706
2022-08-24,9834855.37793209
2022-08-25,9988165.384441491
2022-08-26,9706668.701784424
2022-08-29,9623240.03544056
2022-08-30,9552380.50463248
2022-08-31,9511046.34369078
2022-09-01,9524084.451682469
2022-09-02,9444752.584352806
2022-09-06,9410948.579661468
2022-09-07,9556231.6900222
2022-09-08,9695373.519281195
2022-09-09,9799811.740780665
2022-09-12,9852595.392513094
2022-09-13,9507942.379977664
2022-09-14,9510084.577272732
2022-09-15,9434397.88456544
2022-09-16,9392126.853107989
2022-09-19,9413089.846142156
2022-09-20,9310762.964056768
2022-09-21,9195421.534174718
2022-09-22,9103474.600749768
2022-09-23,8998914.591381084
2022-09-26,8895369.384128964
2022-09-27,8895612.7520424
2022-09-28,9075528.951685537
2022-09-29,9007882.102067769
2022-09-30,8926833.299170697
2022-10-03,9173874.322058896
2022-10-04,9419351.470899418
2022-10-05,9438374.01617606
2022-10-06,9337551.36256793
2022-10-07,9115554.93694785
2022-10-10,9014061.78424767
2022-10-11,8931470.121759687
2022-10-12,8873677.639941106
2022-10-13,9052709.61157845
2022-10-14,8866602.96392506
2022-10-17,9064739.968681194
2022-10-18,9200038.715966009
2022-10-19,9074191.204781314
2022-10-20,8996714.737739544
2022-10-21,9226828.7859239
2022-10-24,9381447.883578075
2022-10-25,9558344.281972231
2022-10-26,9548785.93851243
2022-10-27,9547945.33894731
2022-10-28,9556728.366712008
2022-10-31,9555902.89972192
2022-11-01,9557141.649832169
2022-11-02,9537018.020261783
2022-11-03,9547452.383846683
2022-11-04,9546183.887842195
2022-11-07,9547651.008003062
2022-11-08,9547202.441456435
2022-11-09,9535357.995390534
2022-11-10,9581509.436776375
2022-11-11,9595710.280735424
2022-11-14,9588145.23500903
2022-11-15,9591013.432088498
2022-11-16,9573758.417668942
2022-11-17,9562691.040052608
2022-11-18,9573133.529732373
2022-11-21,9576876.600168742
2022-11-22,9603493.19044004
2022-11-23,9605413.509067427
2022-11-25,9613828.75409005
2022-11-28,9573453.02868424
2022-11-29,9570113.090458142
2022-11-30,9601402.136578135
2022-12-01,9605789.400977563
2022-12-02,9606105.71966326
2022-12-05,9565104.50525691
2022-12-06,9540577.693172064
2022-12-07,9546378.454184037
2022-12-08,9559124.350302288
2022-12-09,9533519.059401875
2022-12-12,9556066.546083365
2022-12-13,9577353.88499431
2022-12-14,9569648.74370379
2022-12-15,9529697.14122767
2022-12-16,9503113.02484646
2022-12-19,9493843.62994994
2022-12-20,9494749.879880795
2022-12-21,9529584.593715154
2022-12-22,9502098.984288909
2022-12-23,9515525.1046498
2022-12-27,9518873.246467955
2022-12-28,9490505.109196544
2022-12-29,9533436.0603141
2022-12-30,9514993.266443836
2023-01-03,9514135.534228692
2023-01-04,9544198.010059897
2023-01-05,9515804.60667111
2023-01-06,9564397.52511632
2023-01-09,9580975.72074143
2023-01-10,9634781.029391948
2023-01-11,9686584.574968165
2023-01-12,9669011.451384306
2023-01-13,9684420.769738544
2023-01-17,9688885.249856342
2023-01-18,9655183.774090135
2023-01-19,9600707.193942249
2023-01-20,9676657.237831416
2023-01-23,9744899.028025411
2023-01-24,9731516.32186088
2023-01-25,9721528.321048496
2023-01-26,9836363.06836526
2023-01-27,9816261.179465571
2023-01-30,9760475.036432063
2023-01-31,9834697.521930788
2023-02-01,9886395.855717182
2023-02-02,9891883.659583908
2023-02-03,9854522.80413272
2023-02-06,9838596.303447362
2023-02-07,9881942.001980953
2023-02-08,9827582.95031935
2023-02-09,9771424.46924067
2023-02-10,9788542.610742368
2023-02-13,9859706.87272554
2023-02-14,9847183.223136
2023-02-15,9875493.581640592
2023-02-16,9808860.625006584
2023-02-17,9795857.120051583
2023-02-21,9692259.712347137
2023-02-22,9662708.822199216
2023-02-23,9686184.002999697
2023-02-24,9659876.462772224
2023-02-27,9701004.834494086
2023-02-28,9716553.76264362
2023-03-01,9715862.784140771
2023-03-02,9738339.845950546
2023-03-03,9792907.411387784
2023-03-06,9775372.910668992
2023-03-07,9731598.522963615
2023-03-08,9729774.693439633
2023-03-09,9631191.93580775
2023-03-10,9516834.564599996
2023-03-13,9468870.988708586
2023-03-14,9526225.912169617
2023-03-15,9418299.975615662
2023-03-16,9471509.720619865
2023-03-17,9349814.41762098
2023-03-20,9401704.77320086
2023-03-21,9496070.72664271
2023-03-22,9425137.495102577
2023-03-23,9425627.854777794
2023-03-24,9446386.756821718
2023-03-27,9445696.751827003
